id0,id1,relationship,count
2408674502,47304781,mentioned,6
187718636,1416454134,reply-to,1
2842004310,2865648505,reply-to,2
1007075178,609947049,reply-to,11
150290471,883308811,mentioned,3
1893310921,24959879,mentioned,3
2318185207,94458238,mentioned,1
2852593004,2908593735,reply-to,1
2937595227,2850300405,reply-to,1
1436149489,393887721,reply-to,1
1431299167,622090858,reply-to,1
2950225408,1535201132,reply-to,1
2865761030,2914690323,mentioned,1
244237521,2997829471,reply-to,1
1452532201,1663234574,reply-to,1
173955306,71343336,reply-to,1
2985532282,1087002326,mentioned,1
3014056707,2804774814,reply-to,1
2856063795,2493501393,reply-to,6
2962116005,2493501393,reply-to,7
1062111559,622090858,reply-to,2
712423225,1347633547,reply-to,2
204346522,605200816,mentioned,1
2737658517,2953825694,reply-to,1
2745927437,2845921043,reply-to,2
1584209269,38001218,mentioned,1
125441481,1217286588,reply-to,1
2989948372,919556972,reply-to,1
1062111559,2631755571,reply-to,10
1186389506,622090858,mentioned,2
2925200269,3014145779,reply-to,1
2358090388,2558487041,reply-to,1
1200173359,2362477976,reply-to,6
3025477798,2362477976,reply-to,1
2945011295,619577202,reply-to,2
2891161095,2904020714,mentioned,2
2793947713,2847144125,reply-to,6
3026609308,2961453587,reply-to,2
2772816767,2194843856,reply-to,1
2971249788,2981914066,reply-to,1
282714070,2553052320,mentioned,15
2891441245,2831290960,reply-to,2
2252234982,3079273959,reply-to,3
2350730738,2549259533,reply-to,1
2818668985,19405774,mentioned,1
480888630,325175035,reply-to,2
64814859,42510566,mentioned,7
282714070,2752663556,reply-to,1
1064267425,1259687978,reply-to,1
1961621918,2163234371,reply-to,1
2737592436,1332689052,reply-to,1
496703327,540535608,mentioned,1
2942487587,2435585468,mentioned,1
2884489675,2649031446,mentioned,1
2963261800,1087002326,reply-to,1
61650284,47304781,mentioned,12
1963113289,320346780,mentioned,1
1554210486,573178253,reply-to,1
230114030,124215190,mentioned,1
1217755970,1416897570,reply-to,1
3080447771,243836346,mentioned,1
482095157,232444717,mentioned,3
1410931411,705553072,reply-to,8
2746283171,2619345784,reply-to,1
2769508222,3081161019,reply-to,1
1447001018,21700435,reply-to,1
2939886686,2408674502,mentioned,5
2646956742,1685756005,mentioned,1
1452325201,862154029,mentioned,1
2355655372,2921983029,reply-to,1
2891155825,2939886686,reply-to,1
1222881480,2860208794,reply-to,1
1223544912,394915376,reply-to,5
2322524761,123649804,mentioned,2
589341373,1452813307,reply-to,1
832193689,3041296181,mentioned,4
448286628,362602529,reply-to,3
149910763,1850048894,mentioned,1
118191101,38076933,mentioned,1
1314492812,428538189,mentioned,4
2176196803,1703199847,reply-to,1
2725103458,1060558130,reply-to,1
369343803,239656656,reply-to,224
1455598650,977560339,mentioned,1
14807206,469924560,reply-to,20
606872070,981138342,mentioned,1
23683895,14221588,reply-to,1
1416897570,2607536108,reply-to,3
2858134504,2413179710,reply-to,1
994443547,1005019958,reply-to,1
1038962886,2982240712,mentioned,1
1700785351,1924393598,reply-to,12
2493501393,2788275124,mentioned,1
215598722,2743531980,reply-to,1
934874966,2434843967,reply-to,1
3002429217,915668126,reply-to,3
764262036,232444717,mentioned,21
2752663556,128321908,reply-to,1
2181777332,2163234371,reply-to,1
2788116489,3072100415,reply-to,1
2762402950,2265058604,reply-to,1
415845289,1452813307,mentioned,2
2922425555,2896710304,mentioned,1
161268346,38001218,mentioned,2
1593957656,1511201659,reply-to,1
2782470592,415331569,reply-to,1
1487362622,393887721,mentioned,6
556961842,2511575586,reply-to,3
2203050737,258094996,reply-to,44
2965688895,2957466316,reply-to,1
3080447771,71662669,mentioned,1
2977677568,2783333595,mentioned,2
1649364930,622090858,reply-to,4
2214937235,2811891904,reply-to,1
2861018188,3041296181,reply-to,2
411652759,344115535,mentioned,1
766669082,2661016089,mentioned,1
2981614130,3045559810,mentioned,1
2885307757,1060558130,reply-to,7
294420572,873722743,mentioned,30
838205125,2561416575,mentioned,1
1442618282,2896722495,reply-to,2
368437546,618222919,reply-to,2
2477228716,2564777035,reply-to,2
1506877316,3081161019,mentioned,1
2925069206,2793245421,mentioned,1
2752663556,38076933,reply-to,1
3042091006,2768426734,reply-to,1
995320604,2566146384,mentioned,1
138663266,185049864,mentioned,3
46559471,469924560,reply-to,1
19741778,1075421527,reply-to,1
1171720003,1062111559,reply-to,1
3110395858,2260762889,reply-to,2
3014145779,1963113289,reply-to,5
2495608604,1375664096,reply-to,1
2760785112,2888167623,reply-to,2
1692004315,760394310,reply-to,3
2915944173,920231154,reply-to,8
937552446,2477228716,mentioned,1
2705747102,2615278179,reply-to,1
3069120335,3024527566,reply-to,1
3002429217,2300121629,reply-to,1
2408674502,28805729,mentioned,8
143595558,2455729694,reply-to,44
2566146384,1699678674,reply-to,1
2502298979,469924560,reply-to,3
609947049,2945865628,reply-to,1
2477228716,2320332542,reply-to,1
728299806,25311240,mentioned,1
7775542,349458048,reply-to,1
2435585468,16857836,mentioned,1
41109816,17133444,reply-to,1
878756952,540668662,reply-to,3
493752569,486073610,reply-to,3
2916763553,545075817,reply-to,2
619577202,2561943207,reply-to,4
2502298979,25311240,reply-to,3
968469270,2362477976,reply-to,1
192847562,2670222367,mentioned,26
2169257565,2734291823,mentioned,1
3038360682,2981635974,reply-to,1
2795807813,2377692914,reply-to,7
60366403,158461099,mentioned,3
3073873364,2740082962,mentioned,1
2793947713,3041296181,mentioned,1
2214937235,2198974326,reply-to,1
393887721,69970162,mentioned,1
101814026,47304781,mentioned,1
1663234574,1197339265,reply-to,4
2591487005,1337194476,reply-to,5
713475560,2865686718,mentioned,1
