The number of nodes: 3513
The number of nodes: 3513
The number of nodes: 3513
The number of edges: 17227
The number of self-loop: 0
The in-degree and out-degree of nodes
Node 	 In-degree 	 Out-degree
2584872850 	 26 	 0
846960362 	 18 	 5
2895013596 	 1 	 2
1428907604 	 0 	 17
2339680500 	 0 	 1
422917241 	 0 	 11
3124489851 	 0 	 2
708088992 	 0 	 2
2925092136 	 0 	 2
2984480687 	 0 	 1
2651765658 	 2 	 8
1674753672 	 0 	 1
544059435 	 2 	 4
128321908 	 284 	 683
90949762 	 12 	 87
2898867599 	 6 	 74
2745927437 	 23 	 9
298031274 	 1 	 0
431338636 	 0 	 1
289617959 	 0 	 5
915668126 	 36 	 49
537194703 	 71 	 49
3001638483 	 4 	 0
1455892946 	 3 	 0
852369529 	 5 	 61
3091550128 	 0 	 3
1463782273 	 0 	 7
2556153951 	 0 	 2
1260418842 	 0 	 4
533568170 	 1 	 0
2445712264 	 11 	 18
2275237666 	 8 	 11
2896722495 	 0 	 3
2211011073 	 55 	 1203
2726964856 	 0 	 1
1318470781 	 1 	 0
774040921 	 0 	 3
2395111018 	 18 	 18
2272173246 	 0 	 1
2903618757 	 4 	 0
2728346110 	 4 	 0
2895257727 	 1 	 1
202642499 	 20 	 8
2568296067 	 0 	 1
2879884035 	 0 	 6
3026609308 	 0 	 15
2896138714 	 18 	 15
2363008071 	 2 	 0
589341373 	 19 	 2
1049665681 	 3 	 8
498550641 	 0 	 1
230238838 	 0 	 4
1431299167 	 0 	 12
2722395898 	 0 	 3
486073610 	 10 	 9
2839446221 	 41 	 42
910784275 	 0 	 1
2580912856 	 1 	 0
2739635613 	 18 	 21
2957732740 	 0 	 1
1322259654 	 0 	 1
195630483 	 66 	 0
2811892259 	 0 	 11
885727274 	 1 	 0
2541263127 	 0 	 1
1106979248 	 0 	 1
961852904 	 31 	 1
2736022587 	 1 	 2
2566146384 	 115 	 47
449191378 	 0 	 2
725492370 	 18 	 0
2876814431 	 1 	 0
2196647034 	 53 	 84
472364249 	 2 	 0
2628518626 	 0 	 1
3098003831 	 17 	 7
2547463878 	 0 	 1
613475055 	 2 	 0
2908293855 	 17 	 1
1499067542 	 0 	 5
2727206500 	 0 	 2
3044818767 	 0 	 3
14221588 	 1292 	 157
3024648801 	 2 	 2
1410450493 	 0 	 4
2984748547 	 2 	 4
222409989 	 4 	 8
2646956742 	 0 	 8
32780064 	 0 	 15
2522946086 	 13 	 12
2153833606 	 1 	 0
1467789518 	 1 	 8
2157667283 	 6 	 1
31624328 	 81 	 10
448282180 	 0 	 41
935703188 	 0 	 4
2764733077 	 1 	 0
2390919775 	 0 	 5
898626824 	 2 	 1
3035849045 	 6 	 0
2502311508 	 4 	 20
2910638663 	 1 	 2
2281342585 	 0 	 5
2517465179 	 3 	 1
745180039 	 6 	 8
2879920904 	 0 	 2
44633681 	 44 	 1
2364855890 	 1 	 1
707163436 	 0 	 1
2853754570 	 160 	 10
3056459301 	 0 	 2
2366597018 	 34 	 25
2924448458 	 1 	 0
1223183936 	 0 	 3
2932806203 	 1 	 15
3106518782 	 0 	 4
2733576793 	 61 	 3
340369078 	 0 	 2
2203664085 	 1 	 3
31706187 	 5 	 8
1597185804 	 0 	 1
2869896284 	 4 	 15
1090408218 	 18 	 24
2765678787 	 3 	 7
1059028956 	 0 	 1
1096249652 	 2 	 3
2813807419 	 2 	 0
2900202563 	 14 	 0
532465771 	 0 	 16
2254676649 	 1 	 30
1239730777 	 2 	 0
2747148105 	 0 	 1
2979232222 	 0 	 2
428538189 	 4 	 7
3013633329 	 0 	 3
2508883367 	 2 	 4
1187920232 	 1 	 4
3063349663 	 29 	 6
2357133759 	 0 	 7
185049864 	 56 	 54
487728741 	 9 	 6
2960943219 	 9 	 6
2453853910 	 14 	 17
604796662 	 1 	 8
2465830805 	 2 	 0
2786847964 	 3 	 1
636596002 	 8 	 2
150290471 	 82 	 23
925696050 	 0 	 1
2913037232 	 0 	 2
89330165 	 61 	 102
21395879 	 1685 	 306
2247581354 	 1 	 0
3010670810 	 1 	 0
2550962437 	 18 	 12
2909674373 	 1 	 0
294450221 	 0 	 1
2978858961 	 0 	 1
274182382 	 0 	 22
2979133001 	 0 	 1
857152232 	 0 	 3
129644027 	 633 	 51
630723069 	 0 	 7
2591467501 	 7 	 4
588726003 	 3 	 0
1373282454 	 5 	 0
287894847 	 0 	 7
3037567171 	 2 	 0
1167726139 	 2 	 1
480745139 	 9 	 1
587782443 	 3 	 5
2701165350 	 0 	 10
1323608833 	 0 	 5
244939585 	 0 	 1
1109782843 	 56 	 60
