user,follower,type,scraped_at
967054796,2189500380,0,Mon Jan 18 11:46:24 +0000 2016
1034079576,2189500380,0,Mon Jan 18 11:46:24 +0000 2016
872387526,2189500380,0,Mon Jan 18 11:46:24 +0000 2016
948860892,2189500380,0,Mon Jan 18 11:46:24 +0000 2016
1047844286,2189500380,0,Mon Jan 18 11:46:24 +0000 2016
827513635,2189500380,0,Mon Jan 18 11:46:24 +0000 2016
1036837914,2189500380,0,Mon Jan 18 11:46:24 +0000 2016
1081872967,2189500380,0,Mon Jan 18 11:46:24 +0000 2016
923374111,2189500380,0,Mon Jan 18 11:46:24 +0000 2016
937718629,2189500380,0,Mon Jan 18 11:46:24 +0000 2016
1121195330,2189500380,0,Mon Jan 18 11:46:24 +0000 2016
1167112076,2189500380,0,Mon Jan 18 11:46:25 +0000 2016
1265847758,2189500380,0,Mon Jan 18 11:46:25 +0000 2016
1002269918,2189500380,0,Mon Jan 18 11:46:25 +0000 2016
1283028919,2189500380,0,Mon Jan 18 11:46:25 +0000 2016
1552265455,2189500380,0,Mon Jan 18 11:46:25 +0000 2016
2419593438,273203971,0,Mon Jan 18 11:46:26 +0000 2016
142911655,273203971,0,Mon Jan 18 11:46:26 +0000 2016
840907788,273203971,0,Mon Jan 18 11:46:26 +0000 2016
2227276574,273203971,0,Mon Jan 18 11:46:26 +0000 2016
619577202,273203971,0,Mon Jan 18 11:46:26 +0000 2016
2904020714,273203971,0,Mon Jan 18 11:46:26 +0000 2016
1668723068,273203971,0,Mon Jan 18 11:46:26 +0000 2016
2747064597,273203971,0,Mon Jan 18 11:46:26 +0000 2016
1940124240,273203971,0,Mon Jan 18 11:46:26 +0000 2016
1924664732,273203971,0,Mon Jan 18 11:46:26 +0000 2016
2261557300,273203971,0,Mon Jan 18 11:46:26 +0000 2016
2174937221,273203971,0,Mon Jan 18 11:46:26 +0000 2016
1931338134,273203971,0,Mon Jan 18 11:46:26 +0000 2016
1276012544,273203971,0,Mon Jan 18 11:46:26 +0000 2016
705478378,273203971,0,Mon Jan 18 11:46:26 +0000 2016
1038449161,273203971,0,Mon Jan 18 11:46:26 +0000 2016
1864091863,273203971,0,Mon Jan 18 11:46:26 +0000 2016
1261239666,273203971,0,Mon Jan 18 11:46:26 +0000 2016
1147275906,273203971,0,Mon Jan 18 11:46:26 +0000 2016
1167726139,273203971,0,Mon Jan 18 11:46:26 +0000 2016
1563887288,273203971,0,Mon Jan 18 11:46:26 +0000 2016
850218727,273203971,0,Mon Jan 18 11:46:26 +0000 2016
1925480035,273203971,0,Mon Jan 18 11:46:26 +0000 2016
1898972838,273203971,0,Mon Jan 18 11:46:27 +0000 2016
1867319324,273203971,0,Mon Jan 18 11:46:27 +0000 2016
1704757410,273203971,0,Mon Jan 18 11:46:27 +0000 2016
739380187,273203971,0,Mon Jan 18 11:46:27 +0000 2016
1635634476,273203971,0,Mon Jan 18 11:46:27 +0000 2016
1324719186,273203971,0,Mon Jan 18 11:46:27 +0000 2016
937718629,273203971,0,Mon Jan 18 11:46:27 +0000 2016
1053520177,273203971,0,Mon Jan 18 11:46:27 +0000 2016
1120980493,273203971,0,Mon Jan 18 11:46:28 +0000 2016
438551314,273203971,0,Mon Jan 18 11:46:28 +0000 2016
368160862,273203971,0,Mon Jan 18 11:46:28 +0000 2016
1350874850,273203971,0,Mon Jan 18 11:46:28 +0000 2016
527981215,273203971,0,Mon Jan 18 11:46:28 +0000 2016
386988166,273203971,0,Mon Jan 18 11:46:28 +0000 2016
